"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"329","47-5071","Roustabouts, Oil & Gas",7,14.96,"No formal educational credential","$12.18","$18.33",5.6
"330","55-1019",NA,7,NA,NA,NA,NA,5.6
"331","13-2071","Credit Counselors",6,20.26,"Bachelor's degree","$17.11","$25.45",4.8
"332","15-1111","Computer & Information Research Scientists",6,40.19,"Doctoral or professional degree","$32.25","$49.94",4.8
"333","17-3022","Civil Engineering Technicians",6,20.57,"Associate's degree","$16.27","$25.34",4.8
"334","19-2031","Chemists",6,32.04,"Bachelor's degree","$25.25","$41.38",4.8
"335","19-2041","Environmental Scientists & Specialists, Including Health",6,26.79,"Bachelor's degree","$22.16","$34.88",4.8
"336","19-4091","Environmental Science & Protection Technicians, Including Health",6,23.09,"Associate's degree","$17.70","$32.01",4.8
"337","25-1011",NA,6,NA,NA,NA,NA,4.8
"338","25-2053","Special Education Teachers, Middle School",6,26.24,"Bachelor's degree","$22.18","$31.17",4.8
"339","29-1124","Radiation Therapists",6,42.11,"Associate's degree","$34.60","$48.56",4.8
"340","29-2051","Dietetic Technicians",6,12.77,"Associate's degree","$11.09","$14.78",4.8
"341","29-2092","Hearing Aid Specialists",6,26.86,"High school diploma or equivalent","$19.56","$34.09",4.8
"342","31-9011","Massage Therapists",6,17.15,"Postsecondary nondegree award","$14.19","$20.77",4.8
"343","33-9093","Transportation Security Screeners",6,18.66,"High school diploma or equivalent","$17.90","$20.21",4.8
"344","37-3012","Pesticide Handlers, Sprayers, & Applicators, Vegetation",6,15.17,"High school diploma or equivalent","$13.59","$16.70",4.8
"345","47-2073","Operating Engineers & Other Construction Equipment Operators",6,20.94,"High school diploma or equivalent","$16.78","$26.83",4.8
"346","47-2081","Drywall & Ceiling Tile Installers",6,15.69,"No formal educational credential","$13.33","$20.44",4.8
"347","47-2181","Roofers",6,15.62,"No formal educational credential","$13.50","$17.46",4.8
"348","49-3091","Bicycle Repairers",6,12.76,"High school diploma or equivalent","$10.84","$15.12",4.8
"349","51-7011","Cabinetmakers & Bench Carpenters",6,15.71,"High school diploma or equivalent","$12.91","$20.55",4.8
"350","13-1022","Wholesale & Retail Buyers, Except Farm Products",5,23.91,"Bachelor's degree","$18.89","$33.50",4
"351","13-2021","Appraisers & Assessors of Real Estate",5,26.65,"Bachelor's degree","$17.14","$33.91",4
"352","19-1022","Microbiologists",5,27.35,"Bachelor's degree","$22.12","$35.44",4
"353","23-2093","Title Examiners, Abstractors, & Searchers",5,18.55,"High school diploma or equivalent","$16.98","$20.64",4
"354","25-1122",NA,5,NA,NA,NA,NA,4
"355","27-1021","Commercial & Industrial Designers",5,29.8,"Bachelor's degree","$24.25","$39.07",4
"356","27-2041","Music Directors & Composers",5,13.07,"Bachelor's degree","$10.51","$22.91",4
"357","27-3011","Radio & Television Announcers",5,13.69,"Bachelor's degree","$10.92","$17.34",4
"358","29-2057","Ophthalmic Medical Technicians",5,19.72,"Postsecondary nondegree award","$16.89","$22.61",4
"359","31-2022","Physical Therapist Aides",5,13.13,"High school diploma or equivalent","$10.33","$17.01",4
"360","33-3012","Correctional Officers & Jailers",5,14.26,"High school diploma or equivalent","$12.41","$18.94",4
"361","35-2012","Cooks, Institution & Cafeteria",5,12.52,"No formal educational credential","$10.70","$14.56",4
"362","43-2011","Switchboard Operators, Including Answering Service",5,11.95,"High school diploma or equivalent","$10.04","$15.09",4
"363","47-2211","Sheet Metal Workers",5,21.24,"High school diploma or equivalent","$16.88","$28.16",4
"364","47-4011","Construction & Building Inspectors",5,23.17,"High school diploma or equivalent","$19.80","$28.94",4
"365","51-2022","Electrical & Electronic Equipment Assemblers",5,12.75,"High school diploma or equivalent","$10.45","$16.14",4
"366","51-5111","Prepress Technicians & Workers",5,18.77,"Postsecondary nondegree award","$15.18","$23.85",4
"367","51-5113","Print Binding & Finishing Workers",5,15.32,"High school diploma or equivalent","$11.68","$20.17",4
"368","51-6042","Shoe Machine Operators & Tenders",5,0,"High school diploma or equivalent","Insf. Data","Insf. Data",4
"369","51-8092","Gas Plant Operators",5,36.95,"High school diploma or equivalent","$31.19","$42.16",4
"370","51-9023","Mixing & Blending Machine Setters, Operators, & Tenders",5,17.46,"High school diploma or equivalent","$14.35","$21.32",4
"371","51-9151","Photographic Process Workers & Processing Machine Operators",5,14.26,"High school diploma or equivalent","$12.56","$16.33",4
"372","53-2021","Air Traffic Controllers",5,62.38,"Associate's degree","$46.52","$76.65",4
"373","53-3099","Motor Vehicle Operators, All Other",5,17.87,"No formal educational credential","$11.73","$21.34",4
"374","53-5011","Sailors & Marine Oilers",5,21.66,"No formal educational credential","$16.18","$27.95",4
"375","55-3019",NA,5,NA,NA,NA,NA,4
"376","13-1131","Fundraisers",4,21.95,"Bachelor's degree","$16.57","$29.04",3.2
"377","17-3011","Architectural & Civil Drafters",4,22.62,"Associate's degree","$18.19","$28.95",3.2
"378","17-3031","Surveying & Mapping Technicians",4,18.77,"High school diploma or equivalent","$16.01","$23.65",3.2
"379","19-3051","Urban & Regional Planners",4,21.11,"Master's degree","$15.05","$26.56",3.2
"380","23-1012","Judicial Law Clerks",4,0,"Doctoral or professional degree","Insf. Data","Insf. Data",3.2
"381","25-1081",NA,4,NA,NA,NA,NA,3.2
"382","25-2012","Kindergarten Teachers, Except Special Education",4,28.42,"Bachelor's degree","$23.96","$33.31",3.2
"383","25-4021","Librarians",4,29.05,"Master's degree","$22.93","$34.87",3.2
"384","27-1011","Art Directors",4,28.19,"Bachelor's degree","$22.41","$33.83",3.2
"385","27-4014","Sound Engineering Technicians",4,20.74,"Postsecondary nondegree award","$16.21","$28.46",3.2
"386","27-4031","Camera Operators, Television, Video, & Motion Picture",4,16.18,"Bachelor's degree","$13.50","$18.41",3.2
"387","29-1041","Optometrists",4,52.26,"Doctoral or professional degree","$43.75","$61.32",3.2
"388","29-1128","Exercise Physiologists",4,22.64,"Bachelor's degree","$19.66","$25.54",3.2
"389","29-1181","Audiologists",4,29.34,"Doctoral or professional degree","$26.65","$33.10",3.2
"390","39-1011","GamingSupervisors",4,25.38,"High school diploma or equivalent","$21.34","$29.12",3.2
"391","39-2011","Animal Trainers",4,15.17,"High school diploma or equivalent","$12.01","$18.26",3.2
"392","39-3091","Amusement & Recreation Attendants",4,9.26,"No formal educational credential","$8.66","$9.87",3.2
"393","39-6011","Baggage Porters & Bellhops",4,9.41,"High school diploma or equivalent","$8.74","$10.29",3.2
"394","43-4011","Brokerage Clerks",4,18.47,"High school diploma or equivalent","$16.17","$21.95",3.2
"395","43-4111","Interviewers, Except Eligibility & Loan",4,15.36,"High school diploma or equivalent","$12.92","$18.03",3.2
"396","45-2092","Farmworkers & Laborers, Crop, Nursery, & Greenhouse",4,13.33,"No formal educational credential","$10.48","$15.45",3.2
"397","45-4029","Logging Workers, All Other",4,0,"High school diploma or equivalent","Insf. Data","Insf. Data",3.2
"398","47-2221","Structural Iron & Steel Workers",4,21.85,"High school diploma or equivalent","$16.67","$26.79",3.2
"399","51-6064","Textile Winding, Twisting, & Drawing Out Machine Setters, Operators, & Tenders",4,12.06,"High school diploma or equivalent","$10.28","$13.74",3.2
"400","51-7041","Sawing Machine Setters, Operators, & Tenders, Wood",4,12.05,"High school diploma or equivalent","$10.37","$14.51",3.2
"401","51-8093","Petroleum Pump System Operators, Refinery Operators, & Gaugers",4,33.71,"High school diploma or equivalent","$27.47","$40.64",3.2
"402","51-9081","Dental Laboratory Technicians",4,16.95,"High school diploma or equivalent","$12.69","$22.00",3.2
"403","51-9197","Tire Builders",4,17.99,"High school diploma or equivalent","$14.56","$23.26",3.2
"404","11-9013","Farmers, Ranchers, & Other Agricultural Managers",3,10.54,"High school diploma or equivalent","$9.22","$11.84",2.4
"405","11-9039","Education Administrators, All Other",3,32.54,"Bachelor's degree","$27.40","$39.76",2.4
"406","13-2031","Budget Analysts",3,31.2,"Bachelor's degree","$25.96","$39.25",2.4
"407","15-1133","Software Developers, Systems Software",3,41.89,"Bachelor's degree","$34.65","$48.56",2.4
"408","17-3012","Electrical & Electronics Drafters",3,28.71,"Associate's degree","$23.00","$37.44",2.4
"409","17-3026","Industrial Engineering Technicians",3,24.5,"Associate's degree","$19.53","$32.35",2.4
"410","17-3027","Mechanical Engineering Technicians",3,20.48,"Associate's degree","$16.89","$25.08",2.4
"411","19-1013","Soil & Plant Scientists",3,26.05,"Bachelor's degree","$20.66","$31.31",2.4
"412","19-1023","Zoologists & Wildlife Biologists",3,18.41,"Bachelor's degree","$15.72","$21.62",2.4
"413","19-3039","Psychologists, All Other",3,41.09,"Master's degree","$33.13","$44.81",2.4
"414","21-1094","Community Health Workers",3,18.48,"High school diploma or equivalent","$14.55","$23.67",2.4
"415","21-1099","Community & Social Service Specialists, All Other",3,16.55,"Master's degree","$13.91","$20.21",2.4
"416","21-2021","Directors, Religious Activities & Education",3,25.01,"Bachelor's degree","$17.30","$33.51",2.4
"417","25-1022",NA,3,NA,NA,NA,NA,2.4
"418","25-1111",NA,3,NA,NA,NA,NA,2.4
"419","25-2021","Elementary School Teachers, Except Special Education",3,28.18,"Bachelor's degree","$23.40","$33.40",2.4
"420","25-9021","Farm & Home Management Advisors",3,26.08,"Master's degree","$21.64","$31.63",2.4
"421","27-1014","Multimedia Artists & Animators",3,16.36,"Bachelor's degree","$13.71","$21.95",2.4
"422","27-2023","Umpires, Referees, & Other Sports Officials",3,14.86,"High school diploma or equivalent","$10.79","$25.30",2.4
"423","29-9012","Occupational Health & Safety Technicians",3,20.41,"High school diploma or equivalent","$15.51","$25.59",2.4
"424","41-9091","Door-to-Door Sales Workers, News & Street Vendors, & Related Workers",3,8.94,"No formal educational credential","$8.08","$9.74",2.4
"425","43-4031","Court, Municipal, & License Clerks",3,15.43,"High school diploma or equivalent","$13.84","$18.51",2.4
"426","43-5041","Meter Readers, Utilities",3,13.85,"High school diploma or equivalent","$10.44","$19.17",2.4
"427","43-5053","Postal Service Mail Sorters, Processors, & Processing Machine Operators",3,27.79,"High school diploma or equivalent","$21.80","$27.84",2.4
"428","45-4023","Log Graders & Scalers",3,0,"High school diploma or equivalent","Insf. Data","Insf. Data",2.4
"429","47-2051","Cement Masons & Concrete Finishers",3,16.84,"No formal educational credential","$14.08","$20.36",2.4
"430","47-2121","Glaziers",3,17.3,"High school diploma or equivalent","$14.41","$21.39",2.4
"431","47-4031","Fence Erectors",3,13.57,"No formal educational credential","$11.98","$15.18",2.4
"432","47-4041","Hazardous Materials Removal Workers",3,14.91,"High school diploma or equivalent","$12.26","$20.76",2.4
"433","47-4099","Construction & Related Workers, All Other",3,16.15,"High school diploma or equivalent","$14.37","$17.90",2.4
"434","51-3092","Food Batchmakers",3,12.84,"High school diploma or equivalent","$10.57","$16.48",2.4
"435","51-4021","Extruding & Drawing Machine Setters, Operators, & Tenders, Metal & Plastic",3,16.76,"High school diploma or equivalent","$11.96","$21.25",2.4
"436","51-4033","Grinding, Lapping, Polishing, & Buffing Machine Tool Setters, Operators, & Tenders, Metal & Plastic",3,13.65,"High school diploma or equivalent","$11.16","$17.91",2.4
"437","51-8013","Power Plant Operators",3,36.35,"High school diploma or equivalent","$29.35","$41.17",2.4
"438","51-9021","Crushing, Grinding, & Polishing Machine Setters, Operators, & Tenders",3,15.53,"High school diploma or equivalent","$11.38","$19.55",2.4
"439","51-9195","Molders, Shapers, & Casters, Except Metal & Plastic",3,12.07,"High school diploma or equivalent","$10.15","$14.60",2.4
"440","53-2022","Airfield Operations Specialists",3,30.61,"High school diploma or equivalent","$24.44","$44.34",2.4
"441","53-5021","Captains, Mates, & Pilots of Water Vessels",3,35.59,"Postsecondary nondegree award","$32.45","$38.66",2.4
"442","53-6051","Transportation Inspectors",3,45.49,"High school diploma or equivalent","$34.30","$58.72",2.4
"443","53-7063","Machine Feeders & Offbearers",3,16.79,"No formal educational credential","$13.55","$20.39",2.4
"444","53-7121","Tank Car, Truck, & Ship Loaders",3,18.01,"No formal educational credential","$14.78","$23.37",2.4
"445","13-1021","Buyers & Purchasing Agents, Farm Products",2,28.01,"Bachelor's degree","$21.82","$36.55",1.6
"446","13-1032","Insurance Appraisers, Auto Damage",2,24.25,"Postsecondary nondegree award","$19.70","$27.78",1.6
"447","13-2061","Financial Examiners",2,28.42,"Bachelor's degree","$22.79","$36.17",1.6
"448","17-2061","Computer Hardware Engineers",2,34.37,"Bachelor's degree","$23.50","$47.63",1.6
"449","17-3024","Electro-Mechanical Technicians",2,20.16,"Associate's degree","$15.66","$24.84",1.6
"450","19-1012","Food Scientists & Technologists",2,31.27,"Bachelor's degree","$22.92","$40.91",1.6
"451","19-1020",NA,2,NA,NA,NA,NA,1.6
"452","19-1029","Biological Scientists, All Other",2,28.57,"Bachelor's degree","$22.24","$36.32",1.6
"453","19-2042","Geoscientists, Except Hydrologists & Geographers",2,37.16,"Bachelor's degree","$29.54","$44.60",1.6
"454","19-3091","Anthropologists & Archeologists",2,0,"Master's degree","Insf. Data","Insf. Data",1.6
"455","25-1021",NA,2,NA,NA,NA,NA,1.6
"456","25-1031",NA,2,NA,NA,NA,NA,1.6
"457","25-1042",NA,2,NA,NA,NA,NA,1.6
"458","25-1052",NA,2,NA,NA,NA,NA,1.6
"459","25-2051","Special Education Teachers, Preschool",2,25.49,"Bachelor's degree","$21.04","$31.26",1.6
"460","25-2052","Special Education Teachers, Kindergarten & Elementary School",2,28.25,"Bachelor's degree","$23.46","$33.34",1.6
"461","25-4031","Library Technicians",2,15,"Postsecondary nondegree award","$11.94","$17.53",1.6
"462","27-1013","Fine Artists, Including Painters, Sculptors, & Illustrators",2,8.49,"Bachelor's degree","$7.15","$10.19",1.6
"463","27-2042","Musicians & Singers",2,28.3,"No formal educational credential","$21.92","$37.72",1.6
"464","29-1024","Prosthodontists",2,0,"Doctoral or professional degree","Insf. Data","Insf. Data",1.6
"465","29-1029","Dentists, All Other Specialists",2,78.35,"Doctoral or professional degree","$64.60","$87.88",1.6
"466","29-2056","Veterinary Technologists & Technicians",2,12.5,"Associate's degree","$10.56","$15.06",1.6
"467","29-9099","Healthcare Practitioners & Technical Workers, All Other",2,17.25,"Postsecondary nondegree award","$14.96","$23.37",1.6
"468","33-1011","Supervisors of Correctional Officers",2,18.41,"High school diploma or equivalent","$14.68","$23.46",1.6
"469","33-1012","Supervisors of Police & Detectives",2,32.32,"High school diploma or equivalent","$26.76","$39.07",1.6
"470","33-1021","Supervisors of Fire Fighting & Prevention Workers",2,23.65,"Postsecondary nondegree award","$17.03","$30.92",1.6
"471","33-2021","Fire Inspectors & Investigators",2,26.73,"Postsecondary nondegree award","$22.74","$31.63",1.6
"472","39-3011","Gaming Dealers",2,10,"High school diploma or equivalent","$9.19","$10.90",1.6
"473","39-3019","Gaming Service Workers, All Other",2,11.45,"High school diploma or equivalent","$9.46","$14.34",1.6
"474","39-3031","Ushers, Lobby Attendants, & Ticket Takers",2,9.12,"No formal educational credential","$8.58","$9.67",1.6
"475","39-7012","Travel Guides",2,0,"High school diploma or equivalent","Insf. Data","Insf. Data",1.6
"476","41-9012","Models",2,14.64,"No formal educational credential","$12.10","$18.34",1.6
"477","43-4121","Library Assistants, Clerical",2,13.58,"High school diploma or equivalent","$11.33","$16.41",1.6
"478","43-5031","Police, Fire, & Ambulance Dispatchers",2,17.9,"High school diploma or equivalent","$14.22","$21.83",1.6
"479","43-5051","Postal Service Clerks",2,28.3,"High school diploma or equivalent","$18.53","$28.49",1.6
"480","43-9022","Word Processors & Typists",2,16.75,"High school diploma or equivalent","$14.64","$19.43",1.6
"481","43-9071","Office Machine Operators, Except Computer",2,14.3,"High school diploma or equivalent","$11.94","$16.77",1.6
"482","45-1011","Supervisors of Farming, Fishing, & Forestry Workers",2,19.77,"High school diploma or equivalent","$14.90","$23.60",1.6
"483","45-2093","Farmworkers, Farm, Ranch, & Aquacultural Animals",2,11.93,"No formal educational credential","$10.14","$14.80",1.6
"484","47-2071","Paving, Surfacing, & Tamping Equipment Operators",2,16.22,"High school diploma or equivalent","$12.95","$20.56",1.6
"485","47-2231","Solar Photovoltaic Installers",2,16.98,"High school diploma or equivalent","$15.57","$19.00",1.6
"486","47-4051","Highway Maintenance Workers",2,13.92,"High school diploma or equivalent","$11.88","$17.10",1.6
"487","49-9044","Millwrights",2,27.73,"High school diploma or equivalent","$19.84","$33.62",1.6
"488","51-2041","Structural Metal Fabricators & Fitters",2,19.79,"High school diploma or equivalent","$16.66","$28.33",1.6
"489","51-2099","Assemblers & Fabricators, All Other",2,11.27,"High school diploma or equivalent","$9.72","$14.15",1.6
"490","51-4072","Molding, Coremaking, & Casting Machine Setters, Operators, & Tenders, Metal & Plastic",2,15.18,"High school diploma or equivalent","$11.69","$19.10",1.6
"491","51-4191","Heat Treating Equipment Setters, Operators, & Tenders, Metal & Plastic",2,17.27,"High school diploma or equivalent","$14.80","$19.72",1.6
"492","51-4199","Metal Workers & Plastic Workers, All Other",2,13.58,"High school diploma or equivalent","$10.57","$17.49",1.6
"493","51-6099","Textile, Apparel, & Furnishings Workers, All Other",2,12.63,"High school diploma or equivalent","$10.27","$15.52",1.6
"494","51-8021","Stationary Engineers & Boiler Operators",2,21.9,"High school diploma or equivalent","$17.08","$29.43",1.6
"495","51-9011","Chemical Equipment Operators & Tenders",2,23.14,"High school diploma or equivalent","$17.28","$29.45",1.6
"496","51-9041","Extruding, Forming, Pressing, & Compacting Machine Setters, Operators, & Tenders",2,12.47,"High school diploma or equivalent","$9.77","$16.34",1.6
"497","51-9121","Coating, Painting, & Spraying Machine Setters, Operators, & Tenders",2,15.35,"High school diploma or equivalent","$12.42","$20.11",1.6
"498","51-9122","Painters, Transportation Equipment",2,24.68,"High school diploma or equivalent","$20.37","$31.49",1.6
"499","53-2031","Flight Attendants",2,24.01,"High school diploma or equivalent","$20.08","$29.43",1.6
"500","53-3021","Bus Drivers, Transit & Intercity",2,17.19,"High school diploma or equivalent","$12.29","$22.45",1.6
"501","53-3022","Bus Drivers, School or Special Client",2,19.47,"High school diploma or equivalent","$16.03","$23.79",1.6
"502","53-7033","Loading Machine Operators, Underground Mining",2,0,"No formal educational credential","Insf. Data","Insf. Data",1.6
"503","53-7041","Hoist & Winch Operators",2,18.3,"No formal educational credential","$14.12","$24.53",1.6
"504","53-7081","Refuse & Recyclable Material Collectors",2,14.86,"No formal educational credential","$11.51","$17.92",1.6
"505","55-1016",NA,2,NA,NA,NA,NA,1.6
"506","55-3014",NA,2,NA,NA,NA,NA,1.6
"507","11-2011","Advertising & Promotions Managers",1,32.69,"Bachelor's degree","$24.33","$40.06",0.8
"508","13-1075","Labor Relations Specialists",1,25.41,"Bachelor's degree","$9.57","$32.03",0.8
"509","17-2161","Nuclear Engineers",1,45.94,"Bachelor's degree","$37.68","$53.47",0.8
"510","17-2171","Petroleum Engineers",1,57.37,"Bachelor's degree","$57.36","$57.38",0.8
"511","19-1031","Conservation Scientists",1,32.54,"Bachelor's degree","$25.62","$40.62",0.8
"512","19-2011","Astronomers",1,0,"Doctoral or professional degree","Insf. Data","Insf. Data",0.8
"513","19-2012","Physicists",1,48.43,"Doctoral or professional degree","$36.49","$62.61",0.8
"514","19-3032","Industrial-Organizational Psychologists",1,0,"Master's degree","Insf. Data","Insf. Data",0.8
"515","21-1015","Rehabilitation Counselors",1,14.04,"Master's degree","$11.75","$17.40",0.8
"516","23-2099","Legal Support Workers, All Other",1,26.51,"High school diploma or equivalent","$23.16","$29.42",0.8
"517","25-1066",NA,1,NA,NA,NA,NA,0.8
"518","25-1121",NA,1,NA,NA,NA,NA,0.8
"519","25-3011","Adult Basic & Secondary Education & Literacy Teachers & Instructors",1,19.89,"Bachelor's degree","$17.21","$23.57",0.8
"520","25-4012","Curators",1,22.23,"Master's degree","$16.62","$27.57",0.8
"521","25-4013","Museum Technicians & Conservators",1,0,"Bachelor's degree","Insf. Data","Insf. Data",0.8
"522","27-1027","Set & Exhibit Designers",1,20.68,"Bachelor's degree","$16.05","$26.10",0.8
"523","27-2011","Actors",1,11.61,"Some college, no degree","$10.54","$16.02",0.8
"524","27-2021","Athletes & Sports Competitors",1,22.83,"No formal educational credential","$16.77","$29.38",0.8
"525","27-4032","Film & Video Editors",1,20.71,"Bachelor's degree","$17.47","$28.50",0.8
"526","29-1022","Oral & Maxillofacial Surgeons",1,98.24,"Doctoral or professional degree","$90.79","$113.84",0.8
"527","29-1023","Orthodontists",1,83.69,"Doctoral or professional degree","$66.52","$106.98",0.8
"528","29-1129","Therapists, All Other",1,36.1,"Bachelor's degree","$23.94","$43.84",0.8
"529","29-2081","Opticians, Dispensing",1,14.91,"High school diploma or equivalent","$12.19","$18.69",0.8
"530","33-2011","Firefighters",1,18.04,"Postsecondary nondegree award","$14.62","$21.92",0.8
"531","37-2019","Building Cleaning Workers, All Other",1,15.14,"No formal educational credential","$13.26","$16.85",0.8
"532","37-3013","Tree Trimmers & Pruners",1,14.8,"High school diploma or equivalent","$13.28","$16.54",0.8
"533","39-3092","Costume Attendants",1,19.9,"High school diploma or equivalent","$15.21","$27.89",0.8
"534","39-5011","Barbers",1,10.46,"Postsecondary nondegree award","$9.70","$11.21",0.8
"535","39-5091","Makeup Artists, Theatrical & Performance",1,0,"Postsecondary nondegree award","Insf. Data","Insf. Data",0.8
"536","39-9099","Personal Care & Service Workers, All Other",1,11.21,"High school diploma or equivalent","$10.40","$12.70",0.8
"537","41-9021","Real Estate Brokers",1,18.77,"High school diploma or equivalent","$16.55","$22.72",0.8
"538","43-4041","Credit Authorizers, Checkers, & Clerks",1,19,"High school diploma or equivalent","$15.95","$24.08",0.8
"539","43-9081","Proofreaders & Copy Markers",1,17.3,"Bachelor's degree","$14.65","$20.95",0.8
"540","45-2041","Graders & Sorters, Agricultural Products",1,13.03,"No formal educational credential","$11.67","$14.66",0.8
"541","45-4011","Forest & Conservation Workers",1,15.09,"High school diploma or equivalent","$11.22","$19.34",0.8
"542","47-2011","Boilermakers",1,21.33,"High school diploma or equivalent","$17.42","$28.09",0.8
"543","47-2042","Floor Layers, Except Carpet, Wood, & Hard Tiles",1,17.05,"No formal educational credential","$14.44","$20.06",0.8
"544","47-2044","Tile & Marble Setters",1,16.83,"No formal educational credential","$13.72","$19.34",0.8
"545","47-2131","Insulation Workers, Floor, Ceiling, & Wall",1,15.33,"No formal educational credential","$12.47","$18.07",0.8
"546","47-4061","Rail-Track Laying & Maintenance Equipment Operators",1,22.45,"High school diploma or equivalent","$17.92","$25.82",0.8
"547","49-2091","Avionics Technicians",1,26.81,"Associate's degree","$23.29","$31.72",0.8
"548","49-2093","Electrical & Electronics Installers & Repairers, Transportation Equipment",1,26.5,"Postsecondary nondegree award","$22.93","$29.96",0.8
"549","49-2095","Electrical & Electronics Repairers, Powerhouse, Substation, & Relay",1,30.17,"Postsecondary nondegree award","$24.06","$33.59",0.8
"550","49-2096","Electronic Equipment Installers & Repairers, Motor Vehicles",1,13.99,"Postsecondary nondegree award","$11.31","$17.13",0.8
"551","49-3041","Farm Equipment Mechanics & Service Technicians",1,13.82,"High school diploma or equivalent","$11.29","$17.24",0.8
"552","49-3053","Outdoor Power Equipment & Other Small Engine Mechanics",1,14.5,"High school diploma or equivalent","$11.32","$17.34",0.8
"553","49-9064","Watch Repairers",1,13.29,"High school diploma or equivalent","$11.35","$15.52",0.8
"554","49-9081","Wind Turbine Service Technicians",1,0,"Some college, no degree","Insf. Data","Insf. Data",0.8
"555","49-9091","Coin, Vending, & Amusement Machine Servicers & Repairers",1,16.66,"High school diploma or equivalent","$12.63","$20.79",0.8
"556","49-9096","Riggers",1,26.87,"High school diploma or equivalent","$20.05","$30.89",0.8
"557","49-9097","Signal & Track Switch Repairers",1,32.71,"High school diploma or equivalent","$28.82","$36.22",0.8
"558","51-3022","Meat, Poultry, & Fish Cutters & Trimmers",1,13.1,"No formal educational credential","$11.85","$14.30",0.8
"559","51-4012","Computer Numerically Controlled Machine Tool Programmers, Metal & Plastic",1,17.71,"High school diploma or equivalent","$14.12","$21.97",0.8
"560","51-4032","Drilling & Boring Machine Tool Setters, Operators, & Tenders, Metal & Plastic",1,19.69,"High school diploma or equivalent","$15.46","$23.08",0.8
"561","51-4035","Milling & Planing Machine Setters, Operators, & Tenders, Metal & Plastic",1,28.24,"High school diploma or equivalent","$21.42","$32.66",0.8
"562","51-4122","Welding, Soldering, & Brazing Machine Setters, Operators, & Tenders",1,14.62,"High school diploma or equivalent","$12.25","$17.03",0.8
"563","51-6052","Tailors, Dressmakers, & Custom Sewers",1,12.06,"No formal educational credential","$10.79","$13.39",0.8
"564","51-6062","Textile Cutting Machine Setters, Operators, & Tenders",1,12.66,"High school diploma or equivalent","$10.52","$15.50",0.8
"565","51-8012","Power Distributors & Dispatchers",1,41.69,"High school diploma or equivalent","$34.79","$48.09",0.8
"566","51-9051","Furnace, Kiln, Oven, Drier, & Kettle Operators & Tenders",1,19.17,"High school diploma or equivalent","$14.70","$24.15",0.8
"567","51-9083","Ophthalmic Laboratory Technicians",1,14.66,"High school diploma or equivalent","$12.05","$17.46",0.8
"568","51-9191","Adhesive Bonding Machine Operators & Tenders",1,14.71,"High school diploma or equivalent","$12.26","$18.12",0.8
"569","51-9192","Cleaning, Washing, & Metal Pickling Equipment Operators & Tenders",1,12.33,"No formal educational credential","$10.98","$15.07",0.8
"570","53-1011","Aircraft Cargo HandlingSupervisors",1,24.39,"High school diploma or equivalent","$19.52","$31.99",0.8
"571","53-4031","Railroad Conductors & Yardmasters",1,31.46,"High school diploma or equivalent","$26.01","$37.91",0.8
"572","53-6041","Traffic Technicians",1,22.97,"High school diploma or equivalent","$18.59","$31.18",0.8
"573","53-6061","Transportation Attendants, Except Flight Attendants",1,13.83,"High school diploma or equivalent","$10.85","$18.63",0.8
"574","11-1031","Legislators",NA,10.1,"Bachelor's degree","$9.03","$23.27",NA
"575","11-9061","Funeral Service Managers",NA,28.07,"Associate's degree","$22.47","$34.42",NA
"576","11-9071","Gaming Managers",NA,30.32,"High school diploma or equivalent","$24.05","$39.68",NA
"577","11-9131","Postmasters & Mail Superintendents",NA,34.69,"High school diploma or equivalent","$30.49","$40.00",NA
"578","13-1011","Agents & Business Managers of Artists, Performers, & Athletes",NA,20.48,"Bachelor's degree","$17.90","$27.86",NA
"579","13-1074","Farm Labor Contractors",NA,0,"No formal educational credential","Insf. Data","Insf. Data",NA
"580","13-2081","Tax Examiners & Collectors, & Revenue Agents",NA,25.77,"Bachelor's degree","$19.61","$34.02",NA
"581","15-2021","Mathematicians",NA,41.87,"Master's degree","$31.73","$51.55",NA
"582","15-2091","Mathematical Technicians",NA,0,"Bachelor's degree","Insf. Data","Insf. Data",NA
"583","15-2099","Mathematical Science Occupations, All Other",NA,27.96,"Bachelor's degree","$18.75","$39.89",NA
"584","17-1012","Landscape Architects",NA,25.58,"Bachelor's degree","$21.41","$31.04",NA
"585","17-1021","Cartographers & Photogrammetrists",NA,23.05,"Bachelor's degree","$19.34","$27.69",NA
"586","17-1022","Surveyors",NA,21.75,"Bachelor's degree","$18.42","$26.54",NA
"587","17-2011","Aerospace Engineers",NA,41.32,"Bachelor's degree","$34.49","$48.07",NA
"588","17-2021","Agricultural Engineers",NA,0,"Bachelor's degree","Insf. Data","Insf. Data",NA
"589","17-2031","Biomedical Engineers",NA,34.37,"Bachelor's degree","$30.73","$39.91",NA
"590","17-2072","Electronics Engineers, Except Computer",NA,37.87,"Bachelor's degree","$32.34","$48.23",NA
"591","17-2121","Marine Engineers & Naval Architects",NA,39.4,"Bachelor's degree","$33.25","$47.45",NA
"592","17-2151","Mining & Geological Engineers, Including Mining Safety Engineers",NA,42.62,"Bachelor's degree","$31.72","$56.81",NA
