"","SOC","Occupation","Job Postings","Median Hourly Earnings","Typical Entry Level Education","Pct. 25 Hourly Earnings","Pct. 75 Hourly Earnings","deduplicated"
"744","51-2093","Timing Device Assemblers & Adjusters",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"745","51-3023","Slaughterers & Meat Packers",NA,14.45,"No formal educational credential","$12.32","$16.70",NA
"746","51-3091","Food & Tobacco Roasting, Baking, & Drying Machine Operators & Tenders",NA,13.72,"No formal educational credential","$12.53","$15.26",NA
"747","51-3093","Food Cooking Machine Operators & Tenders",NA,17.37,"High school diploma or equivalent","$14.48","$20.85",NA
"748","51-3099","Food Processing Workers, All Other",NA,10.45,"No formal educational credential","$9.02","$14.29",NA
"749","51-4022","Forging Machine Setters, Operators, & Tenders, Metal & Plastic",NA,20.82,"High school diploma or equivalent","$15.85","$24.27",NA
"750","51-4023","Rolling Machine Setters, Operators, & Tenders, Metal & Plastic",NA,17.42,"High school diploma or equivalent","$14.77","$20.40",NA
"751","51-4034","Lathe & Turning Machine Tool Setters, Operators, & Tenders, Metal & Plastic",NA,20.29,"High school diploma or equivalent","$15.91","$23.55",NA
"752","51-4051","Metal-Refining Furnace Operators & Tenders",NA,20.9,"High school diploma or equivalent","$17.09","$24.30",NA
"753","51-4052","Pourers & Casters, Metal",NA,15.78,"High school diploma or equivalent","$13.08","$19.62",NA
"754","51-4061","Model Makers, Metal & Plastic",NA,19.42,"High school diploma or equivalent","$14.69","$26.90",NA
"755","51-4062","Patternmakers, Metal & Plastic",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"756","51-4071","Foundry Mold & Coremakers",NA,15.25,"High school diploma or equivalent","$12.51","$18.22",NA
"757","51-4081","Multiple Machine Tool Setters, Operators, & Tenders, Metal & Plastic",NA,16.35,"High school diploma or equivalent","$13.12","$18.72",NA
"758","51-4192","Layout Workers, Metal & Plastic",NA,21.8,"High school diploma or equivalent","$17.99","$26.53",NA
"759","51-4193","Plating & Coating Machine Setters, Operators, & Tenders, Metal & Plastic",NA,13.36,"High school diploma or equivalent","$11.42","$16.43",NA
"760","51-4194","Tool Grinders, Filers, & Sharpeners",NA,12.92,"High school diploma or equivalent","$10.98","$15.76",NA
"761","51-6021","Pressers, Textile, Garment, & Related Materials",NA,9.56,"No formal educational credential","$8.76","$10.94",NA
"762","51-6041","Shoe & Leather Workers & Repairers",NA,11.05,"High school diploma or equivalent","$10.05","$12.35",NA
"763","51-6051","Sewers, Hand",NA,9.39,"No formal educational credential","$8.28","$10.62",NA
"764","51-6061","Textile Bleaching & Dyeing Machine Operators & Tenders",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"765","51-6063","Textile Knitting & Weaving Machine Setters, Operators, & Tenders",NA,11.62,"High school diploma or equivalent","$9.76","$13.75",NA
"766","51-6091","Extruding & Forming Machine Setters, Operators, & Tenders, Synthetic & Glass Fibers",NA,16.62,"High school diploma or equivalent","$13.96","$19.48",NA
"767","51-6092","Fabric & Apparel Patternmakers",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"768","51-6093","Upholsterers",NA,12.91,"High school diploma or equivalent","$11.07","$15.21",NA
"769","51-7021","Furniture Finishers",NA,13.15,"High school diploma or equivalent","$11.60","$15.22",NA
"770","51-7031","Model Makers, Wood",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"771","51-7032","Patternmakers, Wood",NA,0,"High school diploma or equivalent","Insf. Data","Insf. Data",NA
"772","51-7042","Woodworking Machine Setters, Operators, & Tenders, Except Sawing",NA,14.63,"High school diploma or equivalent","$12.09","$17.67",NA
"773","51-7099","Woodworkers, All Other",NA,15.2,"High school diploma or equivalent","$12.77","$18.41",NA
