,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
379,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",$9.21 ,$13.66 ,No formal educational credential,289,"2,184",933,"3,117","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",133,,,,,,
380,37-2012,Maids and Housekeeping Cleaners,$8.80 ,$11.39 ,No formal educational credential,183,"1,083",351,"1,434",Maids and Housekeeping Cleaners,172,,,,,,
381,37-2019,"Building Cleaning Workers, All Other",$13.26 ,$16.85 ,No formal educational credential,2,<10,<10,0,"Building Cleaning Workers, All Other",1,,,,,,
382,37-2021,Pest Control Workers,$11.50 ,$15.83 ,High school diploma or equivalent,9,48,16,64,Pest Control Workers,19,,,,,,
383,37-3011,Landscaping and Groundskeeping Workers,$10.20 ,$13.53 ,No formal educational credential,3,490,269,759,Landscaping and Groundskeeping Workers,27,,,,,,
384,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",$13.59 ,$16.70 ,High school diploma or equivalent,1,<10,<10,0,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",6,,,,,,
385,37-3013,Tree Trimmers and Pruners,$13.28 ,$16.54 ,High school diploma or equivalent,-1,22,12,35,Tree Trimmers and Pruners,1,,,,,,
386,37-3019,"Grounds Maintenance Workers, All Other",$16.88 ,$27.89 ,No formal educational credential,1,<10,<10,0,NA,NA,,,,,,
387,39-1011,Gaming Supervisors,$21.34 ,$29.12 ,High school diploma or equivalent,-5,<10,<10,0,Gaming Supervisors,4,,,,,,
388,39-1012,Slot Supervisors,$15.07 ,$22.96 ,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
389,39-1021,First-Line Supervisors of Personal Service Workers,$11.88 ,$18.34 ,High school diploma or equivalent,19,157,53,210,First-Line Supervisors of Personal Service Workers,10,,,,,,
390,39-2011,Animal Trainers,$12.01 ,$18.26 ,High school diploma or equivalent,0,25,<10,25,Animal Trainers,4,,,,,,
391,39-2021,Nonfarm Animal Caretakers,$9.00 ,$12.26 ,High school diploma or equivalent,19,188,53,242,Nonfarm Animal Caretakers,15,,,,,,
392,39-3011,Gaming Dealers,$9.19 ,$10.90 ,High school diploma or equivalent,-32,40,11,51,Gaming Dealers,2,,,,,,
393,39-3012,Gaming and Sports Book Writers and Runners,$10.65 ,$17.18 ,High school diploma or equivalent,-12,17,13,30,NA,NA,,,,,,
394,39-3019,"Gaming Service Workers, All Other",$9.46 ,$14.34 ,High school diploma or equivalent,0,<10,<10,0,"Gaming Service Workers, All Other",2,,,,,,
395,39-3021,Motion Picture Projectionists,$9.15 ,$12.64 ,No formal educational credential,-4,<10,0,0,NA,NA,,,,,,
396,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",$8.58 ,$9.67 ,No formal educational credential,-23,86,112,198,"Ushers, Lobby Attendants, and Ticket Takers",2,,,,,,
397,39-3091,Amusement and Recreation Attendants,$8.66 ,$9.87 ,No formal educational credential,29,121,165,286,Amusement and Recreation Attendants,4,,,,,,
398,39-3092,Costume Attendants,$15.21 ,$27.89 ,High school diploma or equivalent,1,<10,<10,0,Costume Attendants,1,,,,,,
399,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",$9.20 ,$12.70 ,High school diploma or equivalent,1,<10,<10,0,"Locker Room, Coatroom, and Dressing Room Attendants",16,,,,,,
400,39-3099,"Entertainment Attendants and Related Workers, All Other",$9.98 ,$13.74 ,High school diploma or equivalent,-2,17,15,33,NA,NA,,,,,,
401,39-4011,Embalmers,$11.37 ,$17.14 ,Postsecondary nondegree award,-1,30,48,78,NA,NA,,,,,,
402,39-4021,Funeral Attendants,$9.38 ,$12.57 ,High school diploma or equivalent,14,43,59,102,NA,NA,,,,,,
403,39-4031,"Morticians, Undertakers, and Funeral Directors",$17.98 ,$30.49 ,Associate's degree,19,50,36,87,NA,NA,,,,,,
404,39-5011,Barbers,$9.70 ,$11.21 ,Postsecondary nondegree award,-52,40,144,184,Barbers,1,,,,,,
405,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",$10.49 ,$13.08 ,Postsecondary nondegree award,185,570,298,868,"Hairdressers, Hairstylists, and Cosmetologists",42,,,,,,
406,39-5091,"Makeup Artists, Theatrical and Performance",Insf. Data,Insf. Data,Postsecondary nondegree award,Insf. Data,<10,0,0,"Makeup Artists, Theatrical and Performance",1,,,,,,
407,39-5092,Manicurists and Pedicurists,$9.97 ,$12.72 ,Postsecondary nondegree award,-21,28,<10,28,NA,NA,,,,,,
408,39-5093,Shampooers,$8.74 ,$10.23 ,No formal educational credential,-4,<10,<10,0,NA,NA,,,,,,
409,39-5094,Skincare Specialists,$10.76 ,$18.63 ,Postsecondary nondegree award,-2,26,<10,26,NA,NA,,,,,,
410,39-6011,Baggage Porters and Bellhops,$8.74 ,$10.29 ,High school diploma or equivalent,6,24,12,36,Baggage Porters and Bellhops,4,,,,,,
411,39-6012,Concierges,$9.34 ,$12.94 ,High school diploma or equivalent,3,11,<10,11,Concierges,7,,,,,,
412,39-7011,Tour Guides and Escorts,$9.97 ,$14.09 ,High school diploma or equivalent,-2,14,14,28,NA,NA,,,,,,
413,39-7012,Travel Guides,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,Travel Guides,2,,,,,,
414,39-9011,Childcare Workers,$8.32 ,$10.66 ,High school diploma or equivalent,80,683,374,"1,057",Childcare Workers,346,,,,,,
415,39-9021,Personal Care Aides,$9.27 ,$11.49 ,No formal educational credential,872,"1,107",558,"1,665",Personal Care Aides,138,,,,,,
416,39-9031,Fitness Trainers and Aerobics Instructors,$10.76 ,$19.22 ,High school diploma or equivalent,91,104,48,152,Fitness Trainers and Aerobics Instructors,20,,,,,,
417,39-9032,Recreation Workers,$9.24 ,$15.88 ,High school diploma or equivalent,44,138,70,208,Recreation Workers,62,,,,,,
418,39-9041,Residential Advisors,$9.16 ,$12.08 ,High school diploma or equivalent,19,91,19,109,Residential Advisors,25,,,,,,
419,39-9099,"Personal Care and Service Workers, All Other",$10.40 ,$12.70 ,High school diploma or equivalent,0,26,16,42,"Personal Care and Service Workers, All Other",1,,,,,,
420,41-1011,First-Line Supervisors of Retail Sales Workers,$11.97 ,$20.37 ,High school diploma or equivalent,-87,964,250,"1,214",First-Line Supervisors of Retail Sales Workers,690,,,,,,
421,41-1012,First-Line Supervisors of Non-Retail Sales Workers,$20.42 ,$38.67 ,High school diploma or equivalent,-1,302,68,369,First-Line Supervisors of Non-Retail Sales Workers,33,,,,,,
422,41-2011,Cashiers,$8.74 ,$10.70 ,No formal educational credential,-265,"1,593",759,"2,352",Cashiers,198,,,,,,
423,41-2012,Gaming Change Persons and Booth Cashiers,$10.56 ,$15.31 ,High school diploma or equivalent,-14,18,10,28,NA,NA,,,,,,
424,41-2021,Counter and Rental Clerks,$8.89 ,$13.80 ,No formal educational credential,-54,274,176,451,Counter and Rental Clerks,21,,,,,,
425,41-2022,Parts Salespersons,$10.39 ,$18.84 ,No formal educational credential,21,216,87,303,Parts Salespersons,42,,,,,,
426,41-2031,Retail Salespersons,$8.92 ,$12.61 ,No formal educational credential,-51,"3,159","1,707","4,866",Retail Salespersons,974,,,,,,
427,41-3011,Advertising Sales Agents,$15.71 ,$30.98 ,High school diploma or equivalent,-48,115,33,148,Advertising Sales Agents,13,,,,,,
428,41-3021,Insurance Sales Agents,$15.75 ,$31.30 ,High school diploma or equivalent,251,601,246,847,Insurance Sales Agents,158,,,,,,
429,41-3031,"Securities, Commodities, and Financial Services Sales Agents",$15.62 ,$47.51 ,Bachelor's degree,-28,130,37,167,"Securities, Commodities, and Financial Services Sales Agents",79,,,,,,
430,41-3041,Travel Agents,$10.84 ,$17.83 ,High school diploma or equivalent,-47,44,23,68,Travel Agents,12,,,,,,
431,41-3099,"Sales Representatives, Services, All Other",$15.86 ,$31.41 ,High school diploma or equivalent,71,510,149,658,"Sales Representatives, Services, All Other",56,,,,,,
432,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",$31.02 ,$58.92 ,Bachelor's degree,55,299,69,368,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",74,,,,,,
433,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",$18.74 ,$41.56 ,High school diploma or equivalent,26,"1,662",429,"2,091","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",879,,,,,,
434,41-9011,Demonstrators and Product Promoters,$10.51 ,$14.98 ,High school diploma or equivalent,5,50,84,134,Demonstrators and Product Promoters,145,,,,,,
435,41-9012,Models,$12.10 ,$18.34 ,No formal educational credential,1,<10,14,14,Models,2,,,,,,
436,41-9021,Real Estate Brokers,$16.55 ,$22.72 ,High school diploma or equivalent,-16,113,54,167,Real Estate Brokers,1,,,,,,
437,41-9022,Real Estate Sales Agents,$13.08 ,$19.70 ,High school diploma or equivalent,-60,474,228,702,Real Estate Sales Agents,105,,,,,,
438,41-9031,Sales Engineers,$23.76 ,$40.69 ,Bachelor's degree,10,22,<10,22,Sales Engineers,11,,,,,,
439,41-9041,Telemarketers,$10.00 ,$13.59 ,No formal educational credential,86,176,66,242,Telemarketers,11,,,,,,
440,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",$8.08 ,$9.74 ,No formal educational credential,-87,48,34,82,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",3,,,,,,
441,41-9099,"Sales and Related Workers, All Other",$12.04 ,$17.75 ,High school diploma or equivalent,27,88,67,155,"Sales and Related Workers, All Other",25,,,,,,
442,43-1011,First-Line Supervisors of Office and Administrative Support Workers,$19.28 ,$30.47 ,High school diploma or equivalent,263,"1,366",263,"1,629",First-Line Supervisors of Office and Administrative Support Workers,168,,,,,,
443,43-2011,"Switchboard Operators, Including Answering Service",$10.04 ,$15.09 ,High school diploma or equivalent,-81,159,86,245,"Switchboard Operators, Including Answering Service",5,,,,,,
444,43-2021,Telephone Operators,$11.89 ,$21.47 ,High school diploma or equivalent,-7,<10,<10,0,Telephone Operators,10,,,,,,
445,43-2099,"Communications Equipment Operators, All Other",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
446,43-3011,Bill and Account Collectors,$14.21 ,$22.40 ,High school diploma or equivalent,-50,159,37,197,Bill and Account Collectors,44,,,,,,
447,43-3021,Billing and Posting Clerks,$14.23 ,$19.79 ,High school diploma or equivalent,183,626,149,776,Billing and Posting Clerks,40,,,,,,
448,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",$13.99 ,$21.07 ,"Some college, no degree",-448,"2,056",795,"2,851","Bookkeeping, Accounting, and Auditing Clerks",372,,,,,,
449,43-3041,Gaming Cage Workers,$10.69 ,$15.14 ,High school diploma or equivalent,-3,11,<10,11,NA,NA,,,,,,
450,43-3051,Payroll and Timekeeping Clerks,$16.49 ,$23.25 ,High school diploma or equivalent,-25,198,51,249,Payroll and Timekeeping Clerks,61,,,,,,
451,43-3061,Procurement Clerks,$15.85 ,$22.75 ,High school diploma or equivalent,-5,52,<10,52,Procurement Clerks,21,,,,,,
452,43-3071,Tellers,$11.37 ,$15.57 ,High school diploma or equivalent,-128,267,59,326,Tellers,70,,,,,,
453,43-3099,"Financial Clerks, All Other",$18.61 ,$25.87 ,High school diploma or equivalent,-1,20,<10,20,NA,NA,,,,,,
454,43-4011,Brokerage Clerks,$16.17 ,$21.95 ,High school diploma or equivalent,-1,24,<10,24,Brokerage Clerks,4,,,,,,
455,43-4021,Correspondence Clerks,$16.86 ,$23.29 ,High school diploma or equivalent,3,13,<10,13,NA,NA,,,,,,
456,43-4031,"Court, Municipal, and License Clerks",$13.84 ,$18.51 ,High school diploma or equivalent,12,130,50,181,"Court, Municipal, and License Clerks",3,,,,,,
457,43-4041,"Credit Authorizers, Checkers, and Clerks",$15.95 ,$24.08 ,High school diploma or equivalent,0,12,<10,12,"Credit Authorizers, Checkers, and Clerks",1,,,,,,
458,43-4051,Customer Service Representatives,$12.60 ,$18.92 ,High school diploma or equivalent,1146,"1,596",339,"1,935",Customer Service Representatives,907,,,,,,
459,43-4061,"Eligibility Interviewers, Government Programs",$16.02 ,$22.13 ,High school diploma or equivalent,7,75,16,91,"Eligibility Interviewers, Government Programs",55,,,,,,
460,43-4071,File Clerks,$10.06 ,$15.03 ,High school diploma or equivalent,-14,103,47,151,File Clerks,10,,,,,,
461,43-4081,"Hotel, Motel, and Resort Desk Clerks",$8.92 ,$11.07 ,High school diploma or equivalent,39,79,45,123,"Hotel, Motel, and Resort Desk Clerks",76,,,,,,
462,43-4111,"Interviewers, Except Eligibility and Loan",$12.92 ,$18.03 ,High school diploma or equivalent,-78,282,96,377,"Interviewers, Except Eligibility and Loan",4,,,,,,
463,43-4121,"Library Assistants, Clerical",$11.33 ,$16.41 ,High school diploma or equivalent,12,122,67,188,"Library Assistants, Clerical",2,,,,,,
464,43-4131,Loan Interviewers and Clerks,$13.22 ,$20.53 ,High school diploma or equivalent,-41,101,14,114,Loan Interviewers and Clerks,19,,,,,,
465,43-4141,New Accounts Clerks,$15.17 ,$19.87 ,High school diploma or equivalent,-33,41,<10,41,NA,NA,,,,,,
466,43-4151,Order Clerks,$12.53 ,$18.82 ,High school diploma or equivalent,8,186,54,240,Order Clerks,17,,,,,,
467,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",$14.71 ,$21.21 ,Associate's degree,-7,110,28,138,"Human Resources Assistants, Except Payroll and Timekeeping",54,,,,,,
468,43-4171,Receptionists and Information Clerks,$11.03 ,$15.43 ,High school diploma or equivalent,209,767,376,"1,143",Receptionists and Information Clerks,149,,,,,,
469,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,$12.33 ,$24.05 ,High school diploma or equivalent,-20,38,13,52,NA,NA,,,,,,
470,43-4199,"Information and Record Clerks, All Other",$13.29 ,$19.46 ,High school diploma or equivalent,22,116,37,153,NA,NA,,,,,,
471,43-5011,Cargo and Freight Agents,$16.30 ,$29.32 ,High school diploma or equivalent,16,118,17,135,Cargo and Freight Agents,8,,,,,,
472,43-5021,Couriers and Messengers,$9.97 ,$13.38 ,High school diploma or equivalent,12,73,38,111,Couriers and Messengers,14,,,,,,
473,43-5031,"Police, Fire, and Ambulance Dispatchers",$14.22 ,$21.83 ,High school diploma or equivalent,-3,46,13,59,"Police, Fire, and Ambulance Dispatchers",2,,,,,,
474,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",$14.49 ,$23.46 ,High school diploma or equivalent,22,191,35,226,"Dispatchers, Except Police, Fire, and Ambulance",24,,,,,,
475,43-5041,"Meter Readers, Utilities",$10.44 ,$19.17 ,High school diploma or equivalent,-3,21,<10,21,"Meter Readers, Utilities",3,,,,,,
476,43-5051,Postal Service Clerks,$18.53 ,$28.49 ,High school diploma or equivalent,-21,68,<10,68,Postal Service Clerks,2,,,,,,
477,43-5052,Postal Service Mail Carriers,$19.94 ,$29.19 ,High school diploma or equivalent,-121,264,14,278,NA,NA,,,,,,
478,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",$21.80 ,$27.84 ,High school diploma or equivalent,-78,133,<10,133,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3,,,,,,
479,43-5061,"Production, Planning, and Expediting Clerks",$16.72 ,$27.04 ,High school diploma or equivalent,13,293,48,341,"Production, Planning, and Expediting Clerks",113,,,,,,
480,43-5071,"Shipping, Receiving, and Traffic Clerks",$12.20 ,$18.75 ,High school diploma or equivalent,-9,781,134,915,"Shipping, Receiving, and Traffic Clerks",103,,,,,,
481,43-5081,Stock Clerks and Order Fillers,$9.72 ,$14.77 ,No formal educational credential,85,"1,585",532,"2,117",Stock Clerks and Order Fillers,318,,,,,,
482,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",$10.87 ,$17.53 ,High school diploma or equivalent,6,45,13,58,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",52,,,,,,
483,43-6011,Executive Secretaries and Executive Administrative Assistants,$17.98 ,$25.95 ,High school diploma or equivalent,-14,539,165,704,Executive Secretaries and Executive Administrative Assistants,34,,,,,,
484,43-6012,Legal Secretaries,$14.58 ,$21.69 ,High school diploma or equivalent,-14,204,60,265,Legal Secretaries,23,,,,,,
485,43-6013,Medical Secretaries,$12.22 ,$17.41 ,High school diploma or equivalent,253,508,129,637,Medical Secretaries,179,,,,,,
486,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",$12.28 ,$19.13 ,High school diploma or equivalent,122,"2,542",826,"3,367","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",351,,,,,,
487,43-9011,Computer Operators,$16.16 ,$24.38 ,High school diploma or equivalent,-14,38,<10,38,Computer Operators,7,,,,,,
488,43-9021,Data Entry Keyers,$12.21 ,$19.23 ,High school diploma or equivalent,29,71,20,91,Data Entry Keyers,84,,,,,,
489,43-9022,Word Processors and Typists,$14.64 ,$19.43 ,High school diploma or equivalent,-14,34,11,46,Word Processors and Typists,2,,,,,,
490,43-9031,Desktop Publishers,$17.16 ,$23.51 ,Associate's degree,0,<10,<10,0,NA,NA,,,,,,
491,43-9041,Insurance Claims and Policy Processing Clerks,$13.51 ,$18.48 ,High school diploma or equivalent,405,497,75,572,Insurance Claims and Policy Processing Clerks,22,,,,,,
492,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",$11.12 ,$16.30 ,High school diploma or equivalent,-36,89,32,121,"Mail Clerks and Mail Machine Operators, Except Postal Service",43,,,,,,
493,43-9061,"Office Clerks, General",$10.90 ,$17.68 ,High school diploma or equivalent,297,"1,668",636,"2,304","Office Clerks, General",106,,,,,,
494,43-9071,"Office Machine Operators, Except Computer",$11.94 ,$16.77 ,High school diploma or equivalent,-18,36,11,47,"Office Machine Operators, Except Computer",2,,,,,,
495,43-9081,Proofreaders and Copy Markers,$14.65 ,$20.95 ,Bachelor's degree,-5,23,13,36,Proofreaders and Copy Markers,1,,,,,,
496,43-9111,Statistical Assistants,$15.59 ,$21.24 ,Bachelor's degree,-36,122,31,154,Statistical Assistants,29,,,,,,
497,43-9199,"Office and Administrative Support Workers, All Other",$13.18 ,$21.21 ,High school diploma or equivalent,63,290,76,366,"Office and Administrative Support Workers, All Other",32,,,,,,
498,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",$14.90 ,$23.60 ,High school diploma or equivalent,-4,13,<10,13,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2,,,,,,
499,45-2011,Agricultural Inspectors,$18.52 ,$27.70 ,Bachelor's degree,0,<10,<10,0,NA,NA,,,,,,
500,45-2021,Animal Breeders,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
501,45-2041,"Graders and Sorters, Agricultural Products",$11.67 ,$14.66 ,No formal educational credential,-4,19,<10,19,"Graders and Sorters, Agricultural Products",1,,,,,,
502,45-2091,Agricultural Equipment Operators,$10.94 ,$17.26 ,No formal educational credential,0,<10,<10,0,NA,NA,,,,,,
503,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",$10.48 ,$15.45 ,No formal educational credential,-71,147,60,207,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",4,,,,,,
504,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",$10.14 ,$14.80 ,No formal educational credential,5,33,15,48,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,,,,,,
505,45-2099,"Agricultural Workers, All Other",$12.40 ,$18.07 ,No formal educational credential,-1,<10,<10,0,NA,NA,,,,,,
506,45-3011,Fishers and Related Fishing Workers,$13.61 ,$16.81 ,No formal educational credential,7,<10,<10,0,NA,NA,,,,,,
507,45-3021,Hunters and Trappers,Insf. Data,Insf. Data,No formal educational credential,Insf. Data,<10,<10,0,NA,NA,,,,,,
508,45-4011,Forest and Conservation Workers,$11.22 ,$19.34 ,High school diploma or equivalent,0,<10,<10,0,Forest and Conservation Workers,1,,,,,,
509,45-4021,Fallers,$13.91 ,$24.76 ,High school diploma or equivalent,-3,<10,<10,0,NA,NA,,,,,,
510,45-4022,Logging Equipment Operators,$14.04 ,$19.47 ,High school diploma or equivalent,-5,18,<10,18,NA,NA,,,,,,
511,45-4023,Log Graders and Scalers,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,Log Graders and Scalers,3,,,,,,
512,45-4029,"Logging Workers, All Other",Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,"Logging Workers, All Other",4,,,,,,
513,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,$20.73 ,$31.91 ,High school diploma or equivalent,-50,515,103,619,First-Line Supervisors of Construction Trades and Extraction Workers,9,,,,,,
514,47-2011,Boilermakers,$17.42 ,$28.09 ,High school diploma or equivalent,5,15,<10,15,Boilermakers,1,,,,,,
515,47-2021,Brickmasons and Blockmasons,$15.82 ,$22.47 ,High school diploma or equivalent,-79,58,<10,58,NA,NA,,,,,,
516,47-2022,Stonemasons,$13.50 ,$18.26 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
517,47-2031,Carpenters,$14.34 ,$19.83 ,High school diploma or equivalent,-180,619,95,714,Carpenters,54,,,,,,
518,47-2041,Carpet Installers,$11.72 ,$16.63 ,No formal educational credential,-19,17,<10,17,NA,NA,,,,,,
519,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",$14.44 ,$20.06 ,No formal educational credential,-5,<10,<10,0,"Floor Layers, Except Carpet, Wood, and Hard Tiles",1,,,,,,
520,47-2043,Floor Sanders and Finishers,$12.88 ,$17.77 ,No formal educational credential,-2,<10,<10,0,NA,NA,,,,,,
521,47-2044,Tile and Marble Setters,$13.72 ,$19.34 ,No formal educational credential,-16,23,<10,23,Tile and Marble Setters,1,,,,,,
522,47-2051,Cement Masons and Concrete Finishers,$14.08 ,$20.36 ,No formal educational credential,-2,122,17,139,Cement Masons and Concrete Finishers,3,,,,,,
523,47-2053,Terrazzo Workers and Finishers,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
524,47-2061,Construction Laborers,$13.02 ,$18.70 ,No formal educational credential,32,603,112,715,Construction Laborers,27,,,,,,
525,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",$12.95 ,$20.56 ,High school diploma or equivalent,-10,30,<10,30,"Paving, Surfacing, and Tamping Equipment Operators",2,,,,,,
526,47-2072,Pile-Driver Operators,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
527,47-2073,Operating Engineers and Other Construction Equipment Operators,$16.78 ,$26.83 ,High school diploma or equivalent,-16,291,67,359,Operating Engineers and Other Construction Equipment Operators,6,,,,,,
528,47-2081,Drywall and Ceiling Tile Installers,$13.33 ,$20.44 ,No formal educational credential,-100,39,<10,39,Drywall and Ceiling Tile Installers,6,,,,,,
529,47-2082,Tapers,$20.25 ,$25.84 ,No formal educational credential,-21,<10,<10,0,NA,NA,,,,,,
530,47-2111,Electricians,$18.80 ,$31.29 ,High school diploma or equivalent,69,533,74,608,Electricians,54,,,,,,
531,47-2121,Glaziers,$14.41 ,$21.39 ,High school diploma or equivalent,-28,46,12,58,Glaziers,3,,,,,,
532,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",$12.47 ,$18.07 ,No formal educational credential,-26,11,<10,11,"Insulation Workers, Floor, Ceiling, and Wall",1,,,,,,
533,47-2132,"Insulation Workers, Mechanical",$25.43 ,$40.89 ,High school diploma or equivalent,48,16,<10,16,NA,NA,,,,,,
534,47-2141,"Painters, Construction and Maintenance",$14.01 ,$17.93 ,No formal educational credential,-86,230,38,268,"Painters, Construction and Maintenance",8,,,,,,
535,47-2142,Paperhangers,$12.53 ,$16.20 ,No formal educational credential,-1,<10,<10,0,NA,NA,,,,,,
536,47-2151,Pipelayers,$12.53 ,$20.42 ,No formal educational credential,1,14,<10,14,NA,NA,,,,,,
537,47-2152,"Plumbers, Pipefitters, and Steamfitters",$15.89 ,$30.02 ,High school diploma or equivalent,100,426,61,486,"Plumbers, Pipefitters, and Steamfitters",29,,,,,,
538,47-2161,Plasterers and Stucco Masons,$15.58 ,$18.56 ,No formal educational credential,-4,<10,<10,0,NA,NA,,,,,,
539,47-2171,Reinforcing Iron and Rebar Workers,$18.03 ,$28.48 ,High school diploma or equivalent,1,11,<10,11,NA,NA,,,,,,
540,47-2181,Roofers,$13.50 ,$17.46 ,No formal educational credential,56,72,<10,72,Roofers,6,,,,,,
541,47-2211,Sheet Metal Workers,$16.88 ,$28.16 ,High school diploma or equivalent,25,88,15,103,Sheet Metal Workers,5,,,,,,
542,47-2221,Structural Iron and Steel Workers,$16.67 ,$26.79 ,High school diploma or equivalent,-18,115,<10,115,Structural Iron and Steel Workers,4,,,,,,
543,47-2231,Solar Photovoltaic Installers,$15.57 ,$19.00 ,High school diploma or equivalent,2,<10,<10,0,Solar Photovoltaic Installers,2,,,,,,
544,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",$10.82 ,$15.20 ,No formal educational credential,-18,11,<10,11,NA,NA,,,,,,
545,47-3012,Helpers--Carpenters,$13.95 ,$17.88 ,No formal educational credential,-2,13,<10,13,NA,NA,,,,,,
546,47-3013,Helpers--Electricians,$10.97 ,$14.31 ,High school diploma or equivalent,10,27,<10,27,NA,NA,,,,,,
547,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",$10.28 ,$12.64 ,No formal educational credential,-1,<10,<10,0,NA,NA,,,,,,
548,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",$10.44 ,$14.98 ,High school diploma or equivalent,14,26,<10,26,NA,NA,,,,,,
549,47-3016,Helpers--Roofers,$10.82 ,$15.42 ,No formal educational credential,7,16,<10,16,NA,NA,,,,,,
550,47-3019,"Helpers, Construction Trades, All Other",$15.36 ,$21.64 ,No formal educational credential,0,<10,<10,0,NA,NA,,,,,,
551,47-4011,Construction and Building Inspectors,$19.80 ,$28.94 ,High school diploma or equivalent,7,79,36,115,Construction and Building Inspectors,5,,,,,,
552,47-4021,Elevator Installers and Repairers,$26.32 ,$35.56 ,High school diploma or equivalent,40,11,<10,11,NA,NA,,,,,,
553,47-4031,Fence Erectors,$11.98 ,$15.18 ,No formal educational credential,-1,<10,<10,0,Fence Erectors,3,,,,,,
554,47-4041,Hazardous Materials Removal Workers,$12.26 ,$20.76 ,High school diploma or equivalent,-1,36,<10,36,Hazardous Materials Removal Workers,3,,,,,,
555,47-4051,Highway Maintenance Workers,$11.88 ,$17.10 ,High school diploma or equivalent,6,83,24,107,Highway Maintenance Workers,2,,,,,,
556,47-4061,Rail-Track Laying and Maintenance Equipment Operators,$17.92 ,$25.82 ,High school diploma or equivalent,2,12,<10,12,Rail-Track Laying and Maintenance Equipment Operators,1,,,,,,
557,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,$11.28 ,$15.65 ,No formal educational credential,3,15,<10,15,NA,NA,,,,,,
558,47-4091,Segmental Pavers,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
559,47-4099,"Construction and Related Workers, All Other",$14.37 ,$17.90 ,High school diploma or equivalent,2,13,<10,13,"Construction and Related Workers, All Other",3,,,,,,
560,47-5011,"Derrick Operators, Oil and Gas",Insf. Data,Insf. Data,No formal educational credential,Insf. Data,0,0,0,NA,NA,,,,,,
561,47-5012,"Rotary Drill Operators, Oil and Gas",Insf. Data,Insf. Data,No formal educational credential,Insf. Data,<10,0,0,NA,NA,,,,,,
