,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
123,19-1013,Soil and Plant Scientists,$20.66 ,$31.31 ,Bachelor's degree,1,<10,<10,0,Soil and Plant Scientists,3,,,,,,
124,19-1021,Biochemists and Biophysicists,$29.14 ,$48.46 ,Doctoral or professional degree,3,<10,<10,0,NA,NA,,,,,,
125,19-1022,Microbiologists,$22.12 ,$35.44 ,Bachelor's degree,1,<10,<10,0,Microbiologists,5,,,,,,
126,19-1023,Zoologists and Wildlife Biologists,$15.72 ,$21.62 ,Bachelor's degree,2,<10,<10,0,Zoologists and Wildlife Biologists,3,,,,,,
127,19-1029,"Biological Scientists, All Other",$22.24 ,$36.32 ,Bachelor's degree,1,12,<10,12,"Biological Scientists, All Other",2,,,,,,
128,19-1031,Conservation Scientists,$25.62 ,$40.62 ,Bachelor's degree,2,<10,<10,0,Conservation Scientists,1,,,,,,
129,19-1032,Foresters,$22.19 ,$28.62 ,Bachelor's degree,1,<10,<10,0,NA,NA,,,,,,
130,19-1041,Epidemiologists,$25.56 ,$36.99 ,Master's degree,0,<10,<10,0,NA,NA,,,,,,
131,19-1042,"Medical Scientists, Except Epidemiologists",$20.26 ,$28.79 ,Doctoral or professional degree,21,37,11,48,"Medical Scientists, Except Epidemiologists",23,,,,,,
132,19-1099,"Life Scientists, All Other",$26.47 ,$37.10 ,Bachelor's degree,2,<10,<10,0,NA,NA,,,,,,
133,19-2011,Astronomers,Insf. Data,Insf. Data,Doctoral or professional degree,Insf. Data,<10,0,0,Astronomers,1,,,,,,
134,19-2012,Physicists,$36.49 ,$62.61 ,Doctoral or professional degree,2,<10,<10,0,Physicists,1,,,,,,
135,19-2021,Atmospheric and Space Scientists,$28.56 ,$51.14 ,Bachelor's degree,0,<10,<10,0,NA,NA,,,,,,
136,19-2031,Chemists,$25.25 ,$41.38 ,Bachelor's degree,-5,26,<10,26,Chemists,6,,,,,,
137,19-2032,Materials Scientists,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
138,19-2041,"Environmental Scientists and Specialists, Including Health",$22.16 ,$34.88 ,Bachelor's degree,13,21,<10,21,"Environmental Scientists and Specialists, Including Health",6,,,,,,
139,19-2042,"Geoscientists, Except Hydrologists and Geographers",$29.54 ,$44.60 ,Bachelor's degree,4,12,<10,12,"Geoscientists, Except Hydrologists and Geographers",2,,,,,,
140,19-2043,Hydrologists,$25.41 ,$36.10 ,Bachelor's degree,1,<10,<10,0,NA,NA,,,,,,
141,19-2099,"Physical Scientists, All Other",$21.70 ,$37.09 ,Bachelor's degree,1,<10,<10,0,NA,NA,,,,,,
142,19-3011,Economists,$31.08 ,$47.46 ,Master's degree,3,<10,<10,0,NA,NA,,,,,,
143,19-3022,Survey Researchers,$18.94 ,$38.41 ,Master's degree,1,<10,<10,0,Survey Researchers,9,,,,,,
144,19-3031,"Clinical, Counseling, and School Psychologists",$25.72 ,$35.18 ,Doctoral or professional degree,66,115,74,189,"Clinical, Counseling, and School Psychologists",38,,,,,,
145,19-3032,Industrial-Organizational Psychologists,Insf. Data,Insf. Data,Master's degree,Insf. Data,<10,<10,0,Industrial-Organizational Psychologists,1,,,,,,
146,19-3039,"Psychologists, All Other",$33.13 ,$44.81 ,Master's degree,6,12,<10,12,"Psychologists, All Other",3,,,,,,
147,19-3041,Sociologists,Insf. Data,Insf. Data,Master's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
148,19-3051,Urban and Regional Planners,$15.05 ,$26.56 ,Master's degree,3,16,<10,16,Urban and Regional Planners,4,,,,,,
149,19-3091,Anthropologists and Archeologists,Insf. Data,Insf. Data,Master's degree,Insf. Data,<10,<10,0,Anthropologists and Archeologists,2,,,,,,
150,19-3092,Geographers,Insf. Data,Insf. Data,Bachelor's degree,Insf. Data,<10,0,0,NA,NA,,,,,,
151,19-3093,Historians,Insf. Data,Insf. Data,Master's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
152,19-3094,Political Scientists,Insf. Data,Insf. Data,Master's degree,Insf. Data,<10,<10,0,NA,NA,,,,,,
153,19-3099,"Social Scientists and Related Workers, All Other",$26.81 ,$41.66 ,Bachelor's degree,2,<10,<10,0,NA,NA,,,,,,
154,19-4011,Agricultural and Food Science Technicians,$15.50 ,$22.12 ,Associate's degree,2,<10,<10,0,NA,NA,,,,,,
155,19-4021,Biological Technicians,$13.79 ,$22.47 ,Bachelor's degree,6,<10,<10,0,NA,NA,,,,,,
156,19-4031,Chemical Technicians,$14.30 ,$29.87 ,Associate's degree,-10,27,<10,27,Chemical Technicians,8,,,,,,
157,19-4041,Geological and Petroleum Technicians,$18.63 ,$35.06 ,Associate's degree,1,<10,<10,0,Geological and Petroleum Technicians,8,,,,,,
158,19-4051,Nuclear Technicians,Insf. Data,Insf. Data,Associate's degree,Insf. Data,<10,0,0,NA,NA,,,,,,
159,19-4061,Social Science Research Assistants,$16.68 ,$25.40 ,Bachelor's degree,9,10,<10,10,NA,NA,,,,,,
160,19-4091,"Environmental Science and Protection Technicians, Including Health",$17.70 ,$32.01 ,Associate's degree,5,<10,<10,0,"Environmental Science and Protection Technicians, Including Health",6,,,,,,
161,19-4092,Forensic Science Technicians,$20.87 ,$31.34 ,Bachelor's degree,2,<10,<10,0,Forensic Science Technicians,9,,,,,,
162,19-4093,Forest and Conservation Technicians,$15.26 ,$21.67 ,Associate's degree,-1,<10,<10,0,NA,NA,,,,,,
